
HF/EdG Bloemenexport     ;;;;Date;09.05.16;;;
Postbus 524              ;;;;Invoice;16035102;;;
2675 ZT Honselersdijk    ;;;;Route;0321;0068;;
The Netherlands (NL);;;;Debno;060233;;;
NL007056011B01 ;;;;Debcode;IGF   ;H;;
;
;
;;;;Consegna            ;01IGF ;;;
Ingrosso Fiori Gambin SRL     ;;;;Ingrosso Fiori Gambin         ;;;;
Via dei Pestagalli 27         ;;;;                              ;;;;
20138 Milano                   ;;;;                               ;;;;
Italie              (IT);;;;Italie              (IT);;;;
IT09049900153   ;;;;                ;;;;
;
;
Artno;Description;;;Collis;Qual;Lng;Emb;Eenh;Quant;Price;Curr;Total;Barcode;Bunch;Color;VBN;Country;Statistics;Description;Gross;Net;Retail
     ;Codice               0IGF04                                                                            ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26431;Costa Rica Small              ;;;"   3-3   ";0000000001;035-A1-000;"G5  "    ; st.; 00020;0000,95;EUR  ;0000019,00;                      ;020;0;0000194;CR  ;06042090;Greens              ; 0000004,0; 0000001,0;0001,76;
34711;Salal Tips mini Orca          ;;;"   4-4   ";0000000001;035-A1-000;"G5  "    ; st.; 00025;0001,29;EUR  ;0000032,25;                      ;025;0;0010911;US  ;06042090;Greens              ; 0000003,6; 0000000,6;0002,34;
02782;Galax          X10 BUNCH      ;;;"  70-70  ";0000000002;000-A1-000;"G5  "    ; st.; 00010;0000,87;EUR  ;0000008,70;                      ;010;0;0003909;US  ;06042090;Greens              ; 0000003,2; 0000000,2;0001,67;
88661;Hydrangea Sibilla Red         ;;;"  71-71  ";0000000001;050-A1-018;"E   "    ; st.; 00010;0001,27;EUR  ;0000012,70;                      ;010;4;0019871;NL  ;06031970;Diversen            ; 0000003,6; 0000000,6;0002,48;Mts. Ermstrang
     ;D.Pink                        ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38071;Pisello odorosoranken pinkmix ;;;"  76-76  ";0000000001;075-X1-000;"V0  "    ; st.; 00050;0000,96;EUR  ;0000048,00;                      ;050;0;0000193;IT  ;06031970;Diversen            ; 0000005,5; 0000002,5;0001,67;
29291;Giglio OR Mambo (viola)       ;;;"  77-77  ";0000000001;105-X1-051;"V1  "    ; st.; 00010;0001,11;EUR  ;0000011,10;                      ;010;7;0024751;NL  ;06031500;Lilium              ; 0000000,7; 0000000,6;0001,93;Florient-Remko vd Marel
94961;Eustoma G Arena Light Pink    ;;;"  78-78  ";0000000001;075-A1-055;"V9  "    ; st.; 00010;0000,78;EUR  ;0000007,80;                      ;010;3;0111602;NL  ;06031970;Diversen            ; 0000000,6; 0000000,6;0001,49;Gebr van der Lugt
72621;Eustoma G Rosita Green        ;;;"  79-79  ";0000000001;075-A1-055;"V9  "    ; st.; 00010;0000,75;EUR  ;0000007,50;                      ;010;8;0018292;NL  ;06031970;Diversen            ; 0000000,6; 0000000,6;0001,44;Kwekerij Waalzicht
87161;Pulsatilla Red                ;;;"  80-80  ";0000000001;050-A1-000;"E   "    ; st.; 00050;0000,50;EUR  ;0000025,00;                      ;050;4;0104969;NL  ;06031970;Diversen            ; 0000005,2; 0000002,2;0000,93;Gia Flowers
