
HF/EdG Bloemenexport     ;;;;Date;04.05.16;;;
Postbus 524              ;;;;Invoice;16034331;;;
2675 ZT Honselersdijk    ;;;;Route;0348;0068;;
The Netherlands (NL);;;;Debno;060233;;;
NL007056011B01 ;;;;Debcode;IGF   ;H;;
;
;
;;;;Consegna            ;01IGF ;;;
Ingrosso Fiori Gambin SRL     ;;;;Ingrosso Fiori Gambin         ;;;;
Via dei Pestagalli 27         ;;;;                              ;;;;
20138 Milano                   ;;;;                               ;;;;
Italie              (IT);;;;Italie              (IT);;;;
IT09049900153   ;;;;                ;;;;
;
;
Artno;Description;;;Collis;Qual;Lng;Emb;Eenh;Quant;Price;Curr;Total;Barcode;Bunch;Color;VBN;Country;Statistics;Description;Gross;Net;Retail
45291;Rosa Avalanche+               ;;;"  41-41  ";0000000001;080-X1-010;"E   "    ; st.; 00020;0000,70;EUR  ;0000014,00;                      ;020;1;0016207;NL  ;06031100;Roses               ; 0000004,0; 0000001,0;0001,22;
     ;Codice               0IGF09                                                                            ;0000102,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52911;Anth. Choco                   ;;;"  19-19  ";0000000001;050-A1-015;"690 "    ; st.; 00010;0000,60;EUR  ;0000006,00;                      ;010;0;0011354;NL  ;06031970;Diversen            ; 0000000,8; 0000000,5;0001,18;Fiore 1
55141;Anth. Grace                   ;;;"  20-24  ";0000000001;050-A1-015;"690 "    ; st.; 00050;0000,45;EUR  ;0000022,50;                      ;010;1;0018525;BE  ;06031970;Diversen            ; 0000003,7; 0000002,0;0000,95;AnthurMiddendorp
52911;Anth. Choco                   ;;;"  25-26  ";0000000001;050-A1-013;"690 "    ; st.; 00024;0000,49;EUR  ;0000011,76;                      ;012;0;0011354;NL  ;06031970;Diversen            ; 0000001,9; 0000001,2;0001,01;Fiore 1
54771;Anth. Marijke                 ;;;"  27-27  ";0000000001;050-A1-015;"690 "    ; st.; 00010;0000,58;EUR  ;0000005,80;                      ;010;9;0026269;NL  ;06031970;Diversen            ; 0000000,8; 0000000,4;0001,15;Fiore 2
42151;Santini Tedcha (giallo)       ;;;"   1-1   ";0000000001;055-A1-900;"E   "    ; st.; 00075;0000,19;EUR  ;0000014,25;                      ;075;2;0011404;NL  ;06031400;Chrysanten          ; 0000006,7; 0000003,7;0000,36;J.C.M. de Jong
06931;Tulipano EN Antarctica        ;;;"  57-57  ";0000000001;043-A1-045;"E   "    ; st.; 00150;0000,19;EUR  ;0000028,50;                      ;050;1;0024793;NL  ;06031970;Tulpen              ; 0000007,5; 0000004,5;0000,35;PolderPride Blom-Pronk
06831;Tulipano EN Barcelona         ;;;"  58-58  ";0000000001;050-A1-050;"E   "    ; st.; 00150;0000,20;EUR  ;0000030,00;                      ;050;3;0000885;NL  ;06031970;Tulpen              ; 0000010,5; 0000007,5;0000,37;Black Label Laan Tulips
80361;Tulipano DU Columbus          ;;;"  59-59  ";0000000001;040-A1-034;"V9  "    ; st.; 00050;0000,22;EUR  ;0000011,00;                      ;050;3;0106099;BE  ;06031970;Tulpen              ; 0000002,5; 0000002,5;0000,40;Tuliflor
98821;Tulipano EN Dynasty           ;;;"  60-60  ";0000000001;042-A1-040;"V9  "    ; st.; 00050;0000,22;EUR  ;0000011,00;                      ;050;3;0015098;NL  ;06031970;Tulpen              ; 0000002,5; 0000002,5;0000,40;PolderPride Uittenbogaard
08451;Tulipano EN Strong Gold       ;;;"  61-61  ";0000000001;044-A1-040;"E   "    ; st.; 00150;0000,17;EUR  ;0000025,50;                      ;050;2;0013848;NL  ;06031970;Tulpen              ; 0000007,5; 0000004,5;0000,32;Black Label Laan Tulips
     ;Codice               0IGF17                                                                            ;0000166,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20451;Foglia Mini Chaemerops        ;;;"   2-2   ";0000000001;045-A1-000;"EO  "    ; st.; 00060;0000,26;EUR  ;0000015,60;                      ;060;8;0015786;MY  ;06042090;Greens              ; 0000003,0; 0000000,0;0000,47;Ter Haar Ornamental Fl
22491;Cucumis Maureen               ;;;" 130-130 ";0000000001;000-A1-000;"G4  "    ; st.; 00004;0003,77;EUR  ;0000015,08;                      ;004;8;0002551;KE  ;06031970;Diversen            ; 0000003,1; 0000000,1;0006,17;Fourteen Flowers/Vrolijk
19431;Germini Pantani               ;;;"   3-3   ";0000000001;050-A1-007;"EO  "    ; st.; 00080;0000,24;EUR  ;0000019,20;                      ;080;3;0112524;NL  ;06031970;Diversen            ; 0000007,8; 0000004,8;0000,49;Colours of Nature
37001;Costa Rica Small Orca         ;;;"   4-4   ";0000000001;035-A1-000;"G5  "    ; st.; 00020;0001,00;EUR  ;0000020,00;                      ;020;0;0000194;SV  ;06042090;Greens              ; 0000004,0; 0000001,0;0001,84;
02782;Galax          X10 BUNCH      ;;;"   5-5   ";0000000002;000-A1-000;"G5  "    ; st.; 00010;0000,85;EUR  ;0000008,50;                      ;010;0;0003909;US  ;06042090;Greens              ; 0000003,2; 0000000,2;0001,64;
53801;Hydrangea Esmee Purple        ;;;"   6-6   ";0000000001;040-A1-015;"E   "    ; st.; 00010;0001,02;EUR  ;0000010,20;                      ;010;7;0025794;NL  ;06031970;Diversen            ; 0000003,4; 0000000,4;0002,08;A.L.A. Vollering
89211;Hydrangea Sibilla Purple      ;;;" 124-124 ";0000000001;050-A1-016;"E   "    ; st.; 00010;0001,42;EUR  ;0000014,20;                      ;010;7;0019873;NL  ;06031970;Diversen            ; 0000003,6; 0000000,6;0002,72;A.L.A. Vollering
     ;purple                        ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17581;Iperico Magical Green Power   ;;;"   7-7   ";0000000001;060-A1-000;"V0  "    ; st.; 00025;0000,34;EUR  ;0000008,50;                      ;025;8;0108050;KE  ;06031970;Diversen            ; 0000000,0; 0000000,0;0000,68;Carzan
84421;Kalanchoe Cutflwarm orange    ;;;" 131-131 ";0000000001;045-X1-000;"EM  "    ; st.; 00020;0000,91;EUR  ;0000018,20;                      ;020;0;0001702;DK  ;06031970;Diversen            ; 0000001,5; 0000001,0;0001,60;
00726;Giglio AZ Latino Yellow       ;;;"   8-8   ";0000000006;085-A1-055;"V0  "    ; st.; 00010;0000,70;EUR  ;0000007,00;                      ;010;2;0117031;NL  ;06031500;Lilium              ; 0000000,6; 0000000,5;0001,29;Lilies of Life
30881;Eustoma G Rosanne Black Pearl ;;;"   9-9   ";0000000001;075-A1-055;"V9  "    ; st.; 00010;0000,81;EUR  ;0000008,10;                      ;010;0;0115610;NL  ;06031970;Diversen            ; 0000000,6; 0000000,6;0001,54;Montana Lisianthus
72641;Eustoma G Rosita White        ;;;"  10-10  ";0000000001;075-A1-055;"V9  "    ; st.; 00010;0000,77;EUR  ;0000007,70;                      ;010;1;0020024;NL  ;06031970;Diversen            ; 0000000,6; 0000000,6;0001,47;Gebr van der Lugt
12811;Matricaria Kamille            ;;;" 125-125 ";0000000001;060-A1-023;"V9  "    ; st.; 00025;0000,44;EUR  ;0000011,00;                      ;025;1;0018657;NL  ;06031970;Diversen            ; 0000001,2; 0000001,2;0000,82;Grootscholten Matricaria
21511;Panicum Fountain              ;;;"  11-11  ";0000000001;070-A1-000;"EO  "    ; st.; 00050;0000,39;EUR  ;0000019,50;                      ;050;0;0016725;IT  ;06042090;Greens              ; 0000006,0; 0000003,0;0000,76;Del Golfo Green-P van Dam
33351;Rosa Brocante                 ;;;"  12-12  ";0000000001;080-A1-010;"V9  "    ; st.; 00010;0000,62;EUR  ;0000006,20;                      ;010;9;0115096;DE  ;06031100;Roses               ; 0000000,5; 0000000,5;0001,21;H. und S. Kretz
01452;Rosa Olympus                  ;;;"  13-13  ";0000000002;050-X1-010;"V9  "    ; st.; 00010;0000,35;EUR  ;0000003,50;                      ;020;0;0115969;KE  ;06031100;Roses               ; 0000000,5; 0000000,5;0000,67;Amor
01452;Rosa Olympus                  ;;;"  14-14  ";0000000002;050-X1-010;"V9  "    ; st.; 00010;0000,35;EUR  ;0000003,50;                      ;020;0;0115969;KE  ;06031100;Roses               ; 0000000,5; 0000000,5;0000,67;Amor
