.77207509;;FBOSBES;VLOK WIT;;;;;;;2;1.000;25.00;10;PZ;;;;19/12/2017;434;CTCODFOR;False;;0;25.000;25.000;
.77207266;;BRASSICA;;;;;;FIORI;;37;75.000;1.80;10;PZ;;;;06/12/2017;420;CTCODFOR;False;;0;1.800;1.800;
.78200002;;BRASSICA;;;;;;FIORI;;125;125.000;1.00;10;PZ;;;;20/12/2017;435;CTCODFOR;False;;0;1.000;1.000;
.77207529;;BRASSICA;;;;;;FIORI;;78;50.000;1.60;10;PZ;;;;20/12/2017;436;CTCODFOR;False;;0;1.600;1.600;
.77207337;2574;BRUNIA;ALBIFLORA;;;;;FIORI;;30;30.000;1.40;10;PZ;;;;13/12/2017;424;CTCODFOR;False;;0;1.400;1.400;
.77207616;;CHRYSANTHEMUM;SANTINI COUNTRY;;;;;FIORI;;50;25.000;0.60;10;PZ;;;;30/12/2017;443;CTCODFOR;False;;0;0.600;0.600;
.77207617;;CHRYSANTHEMUM;MADIBA LINDI WHITE;;;;;FIORI;;75;25.000;0.60;10;PZ;;;;30/12/2017;443;CTCODFOR;False;;0;0.600;0.600;
.77207296;;FCRISANTEMINA;;;;;;FIORI;;81;160.000;1.80;10;PZ;;;;06/12/2017;422;CTCODFOR;False;;0;1.800;1.800;
.77207321;;FCRISANTEMINA;BALTICA;;;;;FIORI;;4;16.000;2.50;10;PZ;;;;13/12/2017;424;CTCODFOR;False;;0;2.500;2.500;
.77207322;;FCRISANTEMINA;BALTICA;;;;;FIORI;;32;16.000;2.50;10;PZ;;;;13/12/2017;424;CTCODFOR;False;;0;2.500;2.500;
.77207323;;FCRISANTEMINA;BONITA;;;;;FIORI;;32;16.000;2.50;10;PZ;;;;13/12/2017;424;CTCODFOR;False;;0;2.500;2.500;
.77207618;;FCRISANTEMINA;MIX;;;;;FIORI;;160;160.000;1.80;10;PZ;;;;30/12/2017;444;CTCODFOR;False;;0;1.800;1.800;
.77207619;;FCRISANTEMINA;MIX;;;;;FIORI;;624;624.000;1.85;10;PZ;;;;31/12/2017;445;CTCODFOR;False;;0;1.850;1.850;
.77207566;;FCRISANTEMINA;MIX;;;;;FIORI;;366;640.000;1.85;10;PZ;;;;25/12/2017;440;CTCODFOR;False;;0;1.850;1.850;
.77207591;;FCRISANTEMINA;MIX;;;;;FIORI;;108;160.000;1.80;10;PZ;;;;28/12/2017;442;CTCODFOR;False;;0;1.800;1.800;
.77207362;;FCRISANTEMO;SANT CONTRY;;;;;;;25;25.000;0.50;10;PZ;;;;13/12/2017;424;CTCODFOR;False;;0;0.500;0.500;
.77207324;970;CYMBIDIUM;PER BLOEM GEMENGD;;X 9;;;FIORI;;0;9.000;7.00;10;PZ;;;;13/12/2017;424;CTCODFOR;False;;0;7.000;7.000;
.77207325;970;CYMBIDIUM;PER BLOEM GEMENGD;;X 6;;;FIORI;;10;6.000;11.00;10;PZ;;;;13/12/2017;424;CTCODFOR;False;;0;11.000;11.000;
