0;110648;ROSA;Rose Pebbles  050 010;
0;110693;ROSA;Rosa gb Avalanche Perl;
0;110795;ROSA;Rose Fire Cracker  050 010;
0;110869;ROSA;Roselline Ramificate Secret Sensation  0;
0;110876;VANDA;Orchidee/phalaenopsis Vanda Kanchana Del;
0;111146;ROSA;R Time Square 40;
0;111219;GERB;Hort Wit Gr Peru 65;
0;111264;GERBERA;Gerbera Bravoure *;
0;11131;GERBERA;Gerbera Ruby Red Diamond 70RO;
0;111417;GERBERA;Gerbera Bazuka Diamond;
0;111427;GERB;Gerbera Fender;
0;111471;TULIP;Tulp Fr Brest 4446;
0;111514;GERBERA;Gerbera Diane 45;
0;111543;VANDA;Orchidee/phalaenopsis Vanda Sunanda Dott;
0;111587;TR PEP50;Tr Avalan Gem Fust 70;
0;111633;GERBERA;Gerbera Anette *;
0;112066;ROSA;Rose Incredible  090 010;
0;112069;GENT;Gerbera Greeny 45;
0;112283;LISIANTHUS;Lisianthus dob. Rosanne Deep Bordeaux;
0;112337;ANIGOZANTHUS;Anigoz Early Spring Bordeaux 80;
0;112563;TULIP;Tulp Du Bright Princess 3330;
0;11346;LILIUM;Lilium Or Rose Sorbonne 5+ 100RS;
0;11354;ANTHURIUM;Anth Choco BR;
0;11390;PHILODENDRON;Philodendron Hoja Xanadu Tallo;
0;11801;LILIUM;Lil. Or.Pandora;
0;1189;GERBERA;Gerbera Purple Springs DV;
0;1197;SALAL;Salal Baby Mazzo (Peque?o);
0;11992;ANTH A;Anth Carnaval CR;
0;12157;ROSA;R Grand Prix 80RO;
0;12379;ANTH A;Anth Champagne WI;
0;126;FORSYTHIA;Forsythia I Spectabilis 130GE;
0;12781;GERBERA;Gerbera Op Rij Gemengd Diamond 70;
0;130;FREB;Freesia Mix En 4815GM;
0;13024;ANTH A;Anth Pistache GR;
0;13026;ANTH A;Anthur.Safari;
0;13027;ANTH A;Anth Cognac TW;
0;13400;GYPS;Gyps Million Star (tropical Acres 3 7023;
0;13520;ROSA;R Akito 50WI;
0;13801;LISIANTHUS;Lisianthus Piccolo Rosa;
0;13802;LISIANTHUS;Lys Wit E Piccolo 75WI;
0;14047;CHR;Chr T Euro Wit 7070WI;
0;14082;ROSA;R Passion 60RO;
0;14207;GERB;Gerbera Cream Eye 45GE;
0;14222;HYDRANGEA;Hydr Ov Wit 55WI;
0;14503;ROSA;Roselline Valentino  050 010;
0;14551;CALLE;CALLA;
0;14935;ANTH A;Anth Terra 50BR;
0;15010;TILLANDSIA;Tillandsia Fijn WI;
0;15018;ANTHURIUM;Anth Danielle GR;
0;15019;ANTH A;Anthur.Gabriella;
0;15155;BRASSICA;Brassica Ol.White Crane;
0;15173;MATTHIOLA;Matrecaria D Wit 60525WI;
0;1568;BRODIAEA;Brodiaea Corrina;
0;15912;ROSA;R Klbh Vendela Blue 80BL;
0;15943;ROSA;Rosa kb Red Calypso;
0;1597;GERB;Hyacint Sn Gemengd Extra 30GM;
0;16207;ROSA;R Avalanche mooie 80WI;
0;16217;ROSA;Rose Ilios! EXTRA 060 020;
0;16401;ROSA;Roselline Duett EXTRA 050;
0;16478;ROSA;Rose Lenny EXTRA 080;
0;16525;CRISANTEMO;Crisantemo Mona Lisa Pink  050;
0;16526;CHR;Chr T Euro Sunny 7060GE;
0;16549;LILIUM;Lilium Lf White Heaven 1-pit 95WI;
0;16725;PANICUM;Panicum Fountain 65..;
0;16952;SOLIDAGO;Aster/Solidago Solidago Tara  070 030;
0;17018;GERMINI;Germini Aqua Kimsey 50RS;
0;17063;GERB;Gerbera White Grizzly 45WI;
0;17075;ROSA;Rose Aqua! EXTRA 080 020;
0;1715;STATICE;Limonium Pink Emille Import 7520PA;
0;17466;ANTHURIUM;Anthuriums Maxima Verde  013;
0;17516;ROSA;R Dolce Vita 70TW.;
0;17573;BAMBOO;Bamboe Spiraal+Foglia;
0;17822;ROSA;Rosa gb Artemis Crema;
0;17825;VANDA;Vanda Blue Magic;
0;17885;CYMBIDIUM;Cymb. J.D.Pueblo;
0;17886;CYMBIDIUM;Cymb. B F Silver;
0;18030;ROSA;Rose Marie-Claire!  050 020;
0;18293;EUSTOMA;Lys Rose G Rosita 75;
0;18478;CRISANTEMINA;Crisantemo Zembla 1 050;
0;18522;GERBERA;Gerbera Monarch  010;
0;18525;ANTHURIUM;Anth Grace;
0;18540;ANTH A;Anth Calisto;
0;18599;HYPERICUM;Fiori Diversi Hypericum Magical Red  060;
0;18615;ROSA;Roselline Revue  050;
0;18927;TR PEP50;Tr Mimi Eden 50;
0;18937;CHR;Chr T Delianne White 7260;
0;18999;HYPPEASTRUM;Amarilli Mont Blanc SUPER 080 004;
0;19017;HYPPEASTRUM;Amaryllis Nymph 75;
0;1903;ANTH A;Anth Midori GR;
0;19074;HIPPAESTRUM;Amarilli Gemengd  070 025;
0;19075;HYPPEASTRUM;Amaryllis Ferrari 80;
0;19110;TULIPANO;Tulipani Alibi;
0;19213;ROSA;R El Toro lolomarik 50RO;
0;20001;GERBERA;Gerbera Ice Queen Diamond 70;
0;20024;EUSTOMA;Lisianthus Rosita White EXTRA 075;
0;20024;FEUSTOMARUSSE;Lisianthus Rosita White EXTRA 075;
0;20076;GERBERE;Gerbera Red Explosion 70;
0;20100;ROSA;Rose Acapella  060 010;
0;20189;GERB;Gerbera Carambole;
0;20345;ANTHURIUM;Anth Aqua Fantasy Love 50;
0;20664;ROSA;Rose Cool Water!  070 010;
0;20960;HIDRANGEA;Hydrangea Bela (blu);
