1BUXUS;152;PALLA;
1BUXUS;153;A CESPUGLIO;
1CACTUS;154;MIX;
1CALATHEA;155;CROCATA;
1CAMBRIA;156;MIX;
1CAMPANULA;157;ALBA;
1CAMPANULA;158;NAPOLI;
1CAMPANULA;159;BLUE SKY;
CHRYSANTHEMUM;160;ROCK ROLL;
CHRYSANTHEMUM;161;SPLASH MEADOW;
1CLIVIA;162;MINIATA;
1CHRISANTHEMUM;163;ROCK ROLL;
1CHRISANTHEMUM;164;SPLASH MEADOW;
1CROCUS;165;BLUE;
1CYCLAMEN;166;COMPACT;
1CYMBIDIUM;167;MINI;
1CYMBIDIUM;168;MIX;
1CYMBIDIUM;169;YELLOW;
1CYMBIDIUM;170;GR;
1DENDROBIUM;171;NOBILE;
1ERICA;172;HIEMALIS;
1EUPHORBIA;173;MILII VESTA;
1EUPHORBIA;174;MILII VULACANUS;
1GERBERA;175;MIX;
1GUZMANIA;176;MIX;
1HEDERA;177;HELIX WHIT WOND;
1HYDRANGEA;178;MIX;
1HYDRANGEA;179;ROSE;
1HYDRANGEA;180;ROSITA;
1HYDRANGEA;181;SNOW TELLER;
1HYDRANGEA;182;TELLER BLUE;
1IRIS;183;MIX;
1JASMINUM;184;POLYANTHUM;
1KALANCOE;185;MIX;
1KALANCOE;186;PUMILA;
1LILIUM;187;ORIENTALE;
1NIDULARIUM;188;FIRE BALL;
1PHALENOPSIS;189;1RAMO 9+;
1PHALENOPSIS;190;MT;
1PHALENOPSIS;191;MIX MT;
1PHALENOPSIS;192;WHITE MT;
1PHALENOPSIS;193;ELEGANTE CASCADE;
1PHALENOPSIS;194;MIX 3MT;
1PIANTE;195;PASQUA LEPRA;
1PIANTE;196;COMPO BULBO;
1AZALEA;197;PYRAMIDA;
1AZALEA;198;TRONCO;
1AZALEA;199;MIX;
1AZALEA;200;WHITE SACHSEN;
1ROSA;201;PALACE MIX;
1ROCCIOSE;202;MIX;
1SAINTPAULIA;203;MIX BIANCO ROSA;
1SCHLUMBERGERA;204;MIX4;
1SCHLUMBERGERA;205;MIX5;
1SCHLUMBERGERA;206;WHITE EVA;
1SPATHIPHYLLUM;207;CHOPIN;
1SPATHIPHYLLUM;208;SWEET LAURETTA;
1SPATHIPHYLLUM;209;SWEET ROMANO;
1STEPHANOTIS;210;FLORIBUNDA;
1STREPTOCARPUS;211;PARFUFLORA;
1TILLANDSIA;212;CYANERA;
1VRISEA;213;MIX;
1ZANTEDESCHIA;214;MIX;
1MUSCARI;215;BLUE;
1SAINTPAULIA;216;MIX CARTONE;
MONSTERA;217;PICCOLA;
MONSTERA;218;MEDIA;
MONSTERA;219;GRANDE;
EUSTOMA;220;ROSITA ROSE;
PHALENOPSIS;221;GEMENGD;
VANDA;222;BLUE MAGIC;
PAEONIA;223;SARAH BERNHARD;
ROSA;224;COOL WATER;
ROSA;225;OLIJ MIX;
ROSA;226;PRESTIGE;
ROSA;227;PURPLE POWER;
ROSA;228;RIMINI;
ROSA;229;TARA;
ROSA;230;DAVID AUSTIN;
TULIPANO;231;DOUBLE PRICES;
TULIPANO;232;WHITE HEAVEN;
1HYACINTHUS;233;MIX;
1KALANCOE;234;ROS DON FREDERICO;
1ROSA;235;KORDANA;
1TULIPAN;236;MIX;
ANTHURIUM;237;FANTASIA;
ANTHURIUM;238;NUNZIA;
HYDRANGEA;239;MAGICAL JEWEL;
HYDRANGEA;240;SCHNEEBALL;
HYDRANGEA;241;VERENA;
HYDRANGEA;242;LOLLY POP;
HYPERICUM;243;OVERING;
PAEONIA;244;DUCHESSE;
ROSA;245;CHERRY BRANDY;
ROSA;246;ESCIMO;
TULIPANO;247;ESCAPE;
TULIPANO;248;ROSARIO;
ALLIUM;249;GLOBEMASTER;
HYPERICUM;250;GREEN CONDOR;
ROSA;251;SECRET GARDEN;
ROSA;252;DARK WOW;
ROSA;253;FARFALLA;
ROSA;254;MAJI MOTO;
ROSA;255;OCEAN SONG;
ROSA;256;ST. PATRICK;
ROSA;257;VAMPIRE;
ROSA;258;TR MIMI EDEN;
TANACETUM;259;SINGLE VEGMO;
TANACETUM;260;VICTORY YELLOW;
ZANTEDESCHIA;261;CRYSTAL BLUSH;
1ADIANTUM;262;FRAGRANS;
1BONSAI;263;SERISSA;
1BRIGHAMIA;264;HAWAIIAN PALM;
1CASTANOSPERMUM;265;AUSTRALE;
1CODIAEUM;266;EXELLENT;
1DRACENA F;267;JANET LIND;
1DRACENA F;268;LEMON LIME;
1DRACENA F;269;WARNECKEI;
1DRACENA F;270;COMPACTA;
1DRACENA F;271;GOLDEN COAST;
1DRACENA F;272;RIKI;
1DRACENA M;273;MARGINATA;
1DRACENA R;274;SONG OF INDIA;
1DRACENA S;275;LUCKY BAMBOO;
1ECHEVERIA;276;WITHOUT FLOWERS;
1EUPHORBIA;277;LACTEA CRISTATA;
1FICUS BE;278;BUSHY PRINCE;
1FICUS BE;279;EXOTICA;
1FICUS BE;280;FOLIOLE;
1FICUS BE;281;WIANDI;
1FICUS BIN.;282;AMSTEL KING;
1FICUS MI;283;MOCLAME;
1PENDENTE;284;MIX;
1HELICONIA;285;OLYMPIC FLAME;
1HOYA;286;CARNOSA TRICOLOR;
1MILTONIA;287;SCHWARZ HIGHLAND;
1NEPHROLEPIS;288;GREEN LADY;
1NOLINA;289;RECURVATA;
1PACHIRA;290;AQUATICA;
1PHILODENDRON;291;IMPERIAL GREEN;
1SANSEVERIA;292;CYLINDRICA;
1SANSEVERIA;293;CYLINDRICA SKYLINE;
1SCHEFFLERA;294;ARBORICOLA TRONCO;
1SCHEFFLERA;295;ARBORICOLA CHARLOTTE;
1SENECIO;296;HERREIANUS;
1SYRINGA;297;HUGO KOSTER;
1SYRINGA;298;MME FLORENT STEPMAN;
ANTHURIUM;299;0;
CHAMELACIUM;300;SNOW FLAKE;
CHAMELACIUM;301;UN OFIR;
EUSTOMA;302;ADOM RED PICO;
EUSTOMA;303;PICCOLO BLUE;
EUSTOMA;304;LAVENDER;
GREVILLEA;305;MISTY PINK;
HELLEBORUS;306;ARGUTIFOLIUS;
HYDRANGEA;307;GLOWING ALPS;
ROSA;308;DINARA TR;
ROSA;309;ARTEMIS;
ROSA;310;DUETT  KISIMA;
ROSA;311;MAGADI+;
ROSA;312;ROSITA VENDELA;
ROSA;313;SUNSHINE;
ROSA;314;TR MILCA SENSATION;
ROSA;315;SANTA ROSA TR;
1ALOE;316;VERA;
1HOWEA;317;FORSTERIANA;
1ANTHURIUM;318;ORANGE CHAMPION;
1ANTHURIUM;319;WHITA CHAMPION;
1ARGYRANTHEMUM;320;MARGHERITE WHITE;
1EUPHORBIA;321;MILI PANDORA;
1EUSTOMA;322;JAPAN ROSE;
1GARDENIA;323;JASMINOIDES;
1SAINTPAULIA;324;CHIMERA;
1SPATHIPHYLLUM;325;ALFETTA;
1VANDA;326;MAGIC BLU;
ALSTROMERIA;327;MONTE ROSSO;
CHRISANTEMUM;328;ANASTASIA;
DRACENA;329;BAMBOO SPIRAL;
EUSTOMA;330;PICCOLO YELLOW;
EUSTOMA;331;ROSITA PINK;
EUSTOMA;332;ROSITA YELLOW;
GINSTER;333;WIT;
HYDRANGEA;334;EMERALD CLASS;
HYDRANGEA;335;MAG EMERALD;
HYDRANGEA;336;SIBILLA ROOD;
PAEONIA;337;BIG BEN;
PROTEA;338;LIEBEN CHERRY;
PROTEA;339;WHITE PRIDE;
ROSA;340;DREAMCATCHER;
ROSA;341;ANNEMARIE;
ROSA;342;AQUA BELLA;
ROSA;343;FINESS;
ROSA;344;HEAVEN;
ROSA;345;MUSETTE;
ROSA;346;NARANGA;
ROSA;347;SPRANKLING;
ROSA;348;LOVELY LYDIA TR;
ROSA;349;PEPITA TR;
ALSTROMERIA;350;TONATIUH;
CELOSIA;351;MIX;
PAEONIA;352;FLEMING;
BOUVARDIA;353;DIAMOND WHITE;
BOUVARDIA;354;DIAMOND PINK;
GERMINI H;355;GEMENGD;
HYPERICUM;356;ICE CLASSIC;
PAEONIA;357;FELIX;
ROSA;358;APRICOT;
ROSA;359;BLIZZARD;
ROSA;360;DOLCE VITA;
ROSA;361;GILMORE GIRL;
ROSA;362;GULMIRA NEW;
ROSA;363;RED SKI;
ROSA;364;D-JOENA;
ROSA;365;MILVA;
ROSA;366;TWINGO;
ROSA;367;VARIANCE;
ROSA;368;VENDELA;
