Dec 29 04:25:51|5[info]29/12/2015 04:25:51 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][pageID = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:25:57|5[info]29/12/2015 04:25:57 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 10][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:26:06|5[info]29/12/2015 04:26:06 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 14][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:26:12|5[info]29/12/2015 04:26:12 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:26:15|5[info]29/12/2015 04:26:15 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 17][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:26:27|5[info]29/12/2015 04:26:27 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = AjaxMergeUserToCustomer][id_user = 17][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 04:26:52|5[info]29/12/2015 04:26:52 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 09:57:45|5[info]29/12/2015 09:57:45 - [UTENTE = ][REMOTE IP = 95.227.144.218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 09:57:49|5[info]29/12/2015 09:57:49 - [UTENTE = siso][REMOTE IP = 95.227.144.218][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 09:57:52|5[info]29/12/2015 09:57:52 - [UTENTE = siso][REMOTE IP = 95.227.144.218][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 09:57:56|5[info]29/12/2015 09:57:56 - [UTENTE = siso][REMOTE IP = 95.227.144.218][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 09:57:57|5[info]29/12/2015 09:57:57 - [UTENTE = siso][REMOTE IP = 95.227.144.218][act = ListaClienti][search = 1][key_search = Seregno][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 09:58:11|5[info]29/12/2015 09:58:11 - [UTENTE = siso][REMOTE IP = 95.227.144.218][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 09:58:14|5[info]29/12/2015 09:58:14 - [UTENTE = siso][REMOTE IP = 95.227.144.218][act = ListaUtenti][search = 1][key_search = seregno][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 09:58:20|5[info]29/12/2015 09:58:20 - [UTENTE = siso][REMOTE IP = 95.227.144.218][act = AjaxMergeUserToCustomer][id_user = 17][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 09:58:26|5[info]29/12/2015 09:58:26 - [UTENTE = siso][REMOTE IP = 95.227.144.218][act = AjaxMergeUserToCustomer][search = 1][id_user = 17][key_search = seregno][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.73 Safari/537.36]
Dec 29 17:35:32|5[info]29/12/2015 17:35:32 - [UTENTE = ][REMOTE IP = 66.249.84.130][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google Favicon]
Dec 29 17:35:33|5[info]29/12/2015 17:35:33 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:35:38|5[info]29/12/2015 17:35:38 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:35:44|5[info]29/12/2015 17:35:44 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:35:58|5[info]29/12/2015 17:35:58 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = CaricaCliente][edit = 1][id = 4][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:36:06|5[info]29/12/2015 17:36:06 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:36:28|5[info]29/12/2015 17:36:28 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = CaricaCliente][edit = 1][id = 10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:36:36|5[info]29/12/2015 17:36:36 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:37:37|5[info]29/12/2015 17:37:37 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:37:41|5[info]29/12/2015 17:37:41 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:37:48|5[info]29/12/2015 17:37:48 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaUtenti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:38:22|5[info]29/12/2015 17:38:22 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:38:29|5[info]29/12/2015 17:38:29 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:38:42|5[info]29/12/2015 17:38:42 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:40:11|5[info]29/12/2015 17:40:11 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = CaricaCliente][edit = 1][id = 4][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:43:34|5[info]29/12/2015 17:43:34 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:43:42|5[info]29/12/2015 17:43:42 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:46:53|5[info]29/12/2015 17:46:53 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:47:18|5[info]29/12/2015 17:47:18 - [UTENTE = gabriele.paolillo][REMOTE IP = 76.88.36.10][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 17:47:23|5[info]29/12/2015 17:47:23 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
Dec 29 18:04:16|5[info]29/12/2015 18:04:16 - [UTENTE = ][REMOTE IP = 76.88.36.10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36]
