May 12 15:38:51|5[info]12/05/2016 15:38:51 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 9][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:38:56|5[info]12/05/2016 15:38:56 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 11][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:38:58|5[info]12/05/2016 15:38:58 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:00|5[info]12/05/2016 15:39:00 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 11][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:03|5[info]12/05/2016 15:39:03 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:05|5[info]12/05/2016 15:39:05 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:09|5[info]12/05/2016 15:39:09 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 10][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:13|5[info]12/05/2016 15:39:13 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 11][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:17|5[info]12/05/2016 15:39:17 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 11][rowForPage = 50][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:21|5[info]12/05/2016 15:39:21 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 23][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:26|5[info]12/05/2016 15:39:26 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 19][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:27|5[info]12/05/2016 15:39:27 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:32|5[info]12/05/2016 15:39:32 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 7][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:35|5[info]12/05/2016 15:39:35 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 12][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:38|5[info]12/05/2016 15:39:38 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 14][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
May 12 15:39:43|5[info]12/05/2016 15:39:43 - [UTENTE = siso][REMOTE IP = 46.141.13.37][act = ListaUtenti][delete = 1][id = 17][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36]
