Jan 20 13:16:19|5[info]20/01/2016 13:16:19 - [UTENTE = ][REMOTE IP = 66.249.93.46][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google Favicon]
Jan 20 13:16:24|5[info]20/01/2016 13:16:24 - [UTENTE = ][REMOTE IP = 5.87.60.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 13:16:26|5[info]20/01/2016 13:16:26 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.87.60.16][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 13:16:30|5[info]20/01/2016 13:16:30 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.87.60.16][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 13:16:37|5[info]20/01/2016 13:16:37 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.87.60.16][act = ListaClienti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 13:16:42|5[info]20/01/2016 13:16:42 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.87.60.16][act = ListaClienti][pageID = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 14:52:13|5[info]20/01/2016 14:52:13 - [UTENTE = ][REMOTE IP = 5.86.29.200][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 14:52:17|5[info]20/01/2016 14:52:17 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.29.200][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 14:52:22|5[info]20/01/2016 14:52:22 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.29.200][act = ListaClienti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 14:52:32|5[info]20/01/2016 14:52:32 - [UTENTE = gabriele.paolillo][REMOTE IP = 5.86.29.200][act = ListaClienti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
Jan 20 14:52:41|5[info]20/01/2016 14:52:41 - [UTENTE = ][REMOTE IP = 5.86.29.200][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36]
