Jun 28 11:02:30|5[info]28/06/2016 11:02:30 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaClienti][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:02:35|5[info]28/06/2016 11:02:35 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaClienti][pageID = 19][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:02:40|5[info]28/06/2016 11:02:40 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaClienti][pageID = 18][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:02:48|5[info]28/06/2016 11:02:48 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:03|5[info]28/06/2016 11:03:03 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 27][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:11|5[info]28/06/2016 11:03:11 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 34][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:16|5[info]28/06/2016 11:03:16 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 27][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:21|5[info]28/06/2016 11:03:21 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 27][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:27|5[info]28/06/2016 11:03:27 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 28][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:31|5[info]28/06/2016 11:03:31 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 28][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:35|5[info]28/06/2016 11:03:35 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 29][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:37|5[info]28/06/2016 11:03:37 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:45|5[info]28/06/2016 11:03:45 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 35][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:03:53|5[info]28/06/2016 11:03:53 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 33][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:04:00|5[info]28/06/2016 11:04:00 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 32][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:04:07|5[info]28/06/2016 11:04:07 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 31][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:04:09|5[info]28/06/2016 11:04:09 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:04:14|5[info]28/06/2016 11:04:14 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][delete = 1][id = 30][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:04:16|5[info]28/06/2016 11:04:16 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:04:50|5[info]28/06/2016 11:04:50 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = CaricaListinoDenDekker][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:04:56|5[info]28/06/2016 11:04:56 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:05:00|5[info]28/06/2016 11:05:00 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:05:06|5[info]28/06/2016 11:05:06 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 6][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:05:09|5[info]28/06/2016 11:05:09 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][pageID = 11][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:06:33|5[info]28/06/2016 11:06:33 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:06:41|5[info]28/06/2016 11:06:41 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = ListaUtenti][reset = 1][rowForPage = 100][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:07:02|5[info]28/06/2016 11:07:02 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:11:18|5[info]28/06/2016 11:11:18 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:11:36|5[info]28/06/2016 11:11:36 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][add_pt = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:11:51|5[info]28/06/2016 11:11:51 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:12:27|5[info]28/06/2016 11:12:27 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:12:43|5[info]28/06/2016 11:12:43 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:13:04|5[info]28/06/2016 11:13:04 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:13:09|5[info]28/06/2016 11:13:09 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Setup][reset = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:31:39|5[info]28/06/2016 11:31:39 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Orders][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:32:21|5[info]28/06/2016 11:32:21 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:32:41|5[info]28/06/2016 11:32:40 - [UTENTE = siso][REMOTE IP = 81.25.111.71][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:32:53|5[info]28/06/2016 11:32:53 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Orders][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
Jun 28 11:33:28|5[info]28/06/2016 11:33:28 - [UTENTE = siso][REMOTE IP = 81.25.111.71][act = Orders][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Windows NT 5.1; rv:46.0) Gecko/20100101 Firefox/46.0]
